BoxLayout,Button,GridLayout,ScrollView,Popup,AnchorLayout,TextInput,Label,CheckBox,FileChooser
canvas_color,canvas_color,canvas_color,canvas_color,canvas_color,canvas_color,canvas_color,canvas_color,canvas_color,canvas_color
padding,padding,padding,vbar,content,padding,padding_x,color,height,view_mode
orientation,size_hint,spacing,viewport_size,title_font,anchor_x,padding_y,bold,width,view_list
size_hint,width,size_hint_y,canvas,title,anchor_y,children,padding,top,trigger_update_view
spacing,height,cols,canvas_viewport,top,size_hint,parent,padding_x,x,y
size,text_size,row_force_default,center,title_size,size_hint_y,x,padding_y,y,x
size_hint_y,text,row_default_height,disabled,title_align,size_hint_x,padding,outline_color,size,center
size_hint_x,max_lines,rows,center_y,title_color,size_hint_max_x,line_spacing,outline_width,size_hint,center_x
size_hint_max_x,split_str,size_hint,center_x,right,size_hint_max_y,base_direction,italic,size_hint_y,center_y
size_hint_max_y,color,size_hint_x,pos_hint,size,size_hint_max,disabled,line_height,size_hint_x,width
size_hint_max,font_size,size_hint_max_x,pos,size_hint_x,size_hint_min,right,markup,size_hint_max,height
size_hint_min,ellipsis_options,size_hint_max_y,y,size_hint_y,size_hint_min_x,top,max_lines,size_hint_max_x,children
size_hint_min_x,texture,size_hint_max,x,size_hint,size_hint_min_y,font_context,text_size,size_hint_max_y,parent
size_hint_min_y,base_direction,size_hint_min,center,size_hint_min,parent,font_family,font_size,size_hint_min_y,opacity
parent,state,size_hint_min_x,center_x,size_hint_min_y,size,font_size,font_name,size_hint_min_x,motion_filter
children,min_state_time,size_hint_min_y,center_y,size_hint_min_x,children,font_name,font_family,size_hint_min,pos
pos,last_touch,parent,motion_filter,size_hint_max,pos,focus,font_blended,opacity,pos_hint
pos_hint,background_normal,size,opacity,size_hint_max_x,pos_hint,focus_next,font_context,right,disabled
y,background_down,orientation,bar_margin,size_hint_max_y,y,focus_previous,font_features,children,canvas
x,background_disabled_normal,children,scroll_y,separator_color,x,focused,font_hinting,parent,cls
width,background_disabled_down,pos,scroll_x,separator_height,width,foreground_color,font_kerning,background_radio_normal,progress_cls
center_x,background_color,pos_hint,scroll_timeout,ids,center_x,motion_filter,cls,background_checkbox_normal,files
center_y,always_release,y,scroll_distance,cls,center_y,disabled_foreground_color,size_hint,background_radio_down,font_name
center,ids,x,scroll_type,pos,spacing,input_filter,size,background_checkbox_disabled_down,filters
height,border,width,scroll_wheel_distance,pos_hint,center,is_focusable,motion_filter,background_checkbox_disabled_normal,file_system
minimum_height,parent,center_x,do_scroll_y,overlay_color,height,scroll_from_swipe,opacity,background_checkbox_down,filter_dirs
canvas,children,center_y,do_scroll,attach_to,canvas,selection_from,size_hint_min_y,background_radio_disabled_down,file_encodings
cls,center,center,do_scroll_x,auto_dismiss,cls,replace_crlf,size_hint_min,background_radio_disabled_normal,sort_func
